label features
OQ	1.0000 0.7550 1 0 1 0 0 0 0 0 1 0.3333 5 5 5 1 0 0 0 0.0 0.839 0.161 0 0
PA	0.5607 0.8395 0 0 0 0 0 0 0 0 2 0.6667 21 20 20 0 0 0 0 0.094 0.678 0.228 1 1
FD_PF	0.0000 0.4211 0 0 0 0 0 0 0 0 3 1.0000 10 9 9 1 1 0 0 0.0 0.884 0.116 1 0

OQ	1.0000 0.6802 0 0 0 0 0 0 0 0 1 0.3333 6 6 6 1 0 0 0 0.196 0.804 0.0 0 0
OQ	1.0000 0.5921 1 0 1 0 0 0 0 1 1 0.3333 11 11 11 1 0 0 1 0.095 0.905 0.0 1 0
FD_PA	0.6063 0.9423 0 0 0 0 0 0 0 0 2 0.6667 26 20 20 0 0 0 0 0.0 0.951 0.049 1 0
PA	0.0500 0.7536 0 0 0 1 0 0 0 0 2 0.6667 19 17 17 0 0 0 1 0.06 0.873 0.067 2 0
CQ_IR	0.0000 0.5399 1 0 0 0 0 0 0 0 3 1.0000 8 8 8 0 0 0 0 0.0 1.0 0.0 0 0

OQ	1.0000 0.2617 1 0 1 0 0 0 0 0 1 0.3333 5 5 5 1 0 0 0 0.0 1.0 0.0 0 0
PF	0.0000 0.3521 0 0 0 0 0 0 0 0 3 1.0000 5 5 5 1 1 0 0 0.0 0.49 0.51 2 0

IR_PA	0.0158 0.7516 0 0 0 0 0 0 0 0 2 0.6667 35 34 34 0 0 0 0 0.0 0.87 0.13 5 1
PA	0.0371 0.6544 0 0 0 0 0 0 0 0 3 1.0000 26 23 23 0 0 0 0 0.057 0.943 0.0 1 2
